"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7xENAAODeE2hKzdWFI6YaB","Entergalactic Theme","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:4aW4iDepQUl5ZCHd1Gli68","Entergalactic","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-09-30","https://i.scdn.co/image/ab67616d0000b27371cecf4c653a4bad539da13d","1","1","90480","","false","46","USUM72218322","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:24Z"
"spotify:track:42pKWuJst0oAuUbTvkNqr6","New Mode","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:4aW4iDepQUl5ZCHd1Gli68","Entergalactic","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-09-30","https://i.scdn.co/image/ab67616d0000b27371cecf4c653a4bad539da13d","1","2","236320","","false","54","USUM72217833","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:24Z"
"spotify:track:5OIz27S6SQOJtweneBd6QP","Do What I Want","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:4aW4iDepQUl5ZCHd1Gli68","Entergalactic","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-09-30","https://i.scdn.co/image/ab67616d0000b27371cecf4c653a4bad539da13d","1","3","172053","","true","55","USUM72210530","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:24Z"
"spotify:track:1T8YUlqrG15Tjetxhos6eJ","Angel","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:4aW4iDepQUl5ZCHd1Gli68","Entergalactic","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-09-30","https://i.scdn.co/image/ab67616d0000b27371cecf4c653a4bad539da13d","1","4","146666","","false","51","USUM72218323","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:24Z"
"spotify:track:7CY88rDZ8oKYAlmYoSyxwR","Ignite The Love","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:4aW4iDepQUl5ZCHd1Gli68","Entergalactic","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-09-30","https://i.scdn.co/image/ab67616d0000b27371cecf4c653a4bad539da13d","1","5","162066","","true","51","USUM72218324","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:24Z"
"spotify:track:2aerPJ594vJMo0lK0hHGRO","In Love","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:4aW4iDepQUl5ZCHd1Gli68","Entergalactic","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-09-30","https://i.scdn.co/image/ab67616d0000b27371cecf4c653a4bad539da13d","1","6","218160","","false","50","USUM72217831","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:24Z"
"spotify:track:1OFQT3lHGbnn3x9jPtagXk","Willing To Trust (with Ty Dolla $ign)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","Kid Cudi, Ty Dolla $ign","spotify:album:4aW4iDepQUl5ZCHd1Gli68","Entergalactic","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-09-30","https://i.scdn.co/image/ab67616d0000b27371cecf4c653a4bad539da13d","1","7","282053","","true","54","USUM72217832","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:24Z"
"spotify:track:1r3qUIDhMvoTct7cxPnbdN","Can't Believe It (feat. 2 Chainz)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:17lzZA2AlOHwCwFALHttmp","Kid Cudi, 2 Chainz","spotify:album:4aW4iDepQUl5ZCHd1Gli68","Entergalactic","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-09-30","https://i.scdn.co/image/ab67616d0000b27371cecf4c653a4bad539da13d","1","8","172106","","true","46","USUM72218326","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:24Z"
"spotify:track:37Qn9foJ2E2S24guZSyvyg","Livin' My Truth","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:4aW4iDepQUl5ZCHd1Gli68","Entergalactic","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-09-30","https://i.scdn.co/image/ab67616d0000b27371cecf4c653a4bad539da13d","1","9","133506","","true","51","USUM72218329","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:24Z"
"spotify:track:2K5cJfIJ5nak7BPfnM6VHP","Maybe So","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:4aW4iDepQUl5ZCHd1Gli68","Entergalactic","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-09-30","https://i.scdn.co/image/ab67616d0000b27371cecf4c653a4bad539da13d","1","10","220186","","false","47","USUM72218331","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:24Z"
"spotify:track:4AmISPiQJMPLN4KootjCUu","Can't Shake Her (with Ty Dolla $ign)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","Kid Cudi, Ty Dolla $ign","spotify:album:4aW4iDepQUl5ZCHd1Gli68","Entergalactic","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-09-30","https://i.scdn.co/image/ab67616d0000b27371cecf4c653a4bad539da13d","1","11","176600","","true","48","USUM72218332","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:24Z"
"spotify:track:1WWCpeMyByhHYM2K9atukB","She's Lookin' For Me","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:4aW4iDepQUl5ZCHd1Gli68","Entergalactic","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-09-30","https://i.scdn.co/image/ab67616d0000b27371cecf4c653a4bad539da13d","1","12","215466","","false","47","USUM72218333","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:24Z"
"spotify:track:6MQuFi8gzoJAYwxkYvnbb1","My Drug","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:4aW4iDepQUl5ZCHd1Gli68","Entergalactic","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-09-30","https://i.scdn.co/image/ab67616d0000b27371cecf4c653a4bad539da13d","1","13","131373","","true","43","USUM72218354","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:24Z"
"spotify:track:1irXetrpIyLUtvkNw2F2tu","Somewhere to Fly (with Don Toliver)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:4Gso3d4CscCijv0lmajZWs","Kid Cudi, Don Toliver","spotify:album:4aW4iDepQUl5ZCHd1Gli68","Entergalactic","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-09-30","https://i.scdn.co/image/ab67616d0000b27371cecf4c653a4bad539da13d","1","14","176680","","false","48","USUM72218338","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:24Z"
"spotify:track:79QdtrBWO8lCVaZCYMIxvn","Burrow (with Don Toliver, Steve Aoki & Dot Da Genius) - Bonus Track","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:4Gso3d4CscCijv0lmajZWs, spotify:artist:77AiFEVeAVj2ORpC85QVJs, spotify:artist:6fXcsuCIKZIeY11ylb8hsw","Kid Cudi, Don Toliver, Steve Aoki, Dot Da Genius","spotify:album:4aW4iDepQUl5ZCHd1Gli68","Entergalactic","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-09-30","https://i.scdn.co/image/ab67616d0000b27371cecf4c653a4bad539da13d","1","15","211280","","false","43","USUM72217424","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:24Z"
